"id","wwmeasureid","submited_datetime","analysisdate","reportdate","fractionAnalyzed","value","notes","covtype_id","sampleid_id"
58,LAR_11102021_covN2_PE-COD,2022-02-28 13:55:11,2021-10-11,2021-10-11,liquid,2837953091.7,"",9,141
59,LAR_25102021_covE_PE-COD,2022-02-28 14:26:04,2021-10-25,2021-10-25,liquid,2842477876.1,"",3,179
60,LAR_25102021_covN2_PE-COD,2022-02-28 14:26:04,2021-10-25,2021-10-25,liquid,4195575221.2,"",9,179
61,LAR_27012022_covE_PE-COD,2022-02-28 15:42:35,2022-01-31,2022-01-31,liquid,7231939978.6,"",3,70
62,LAR_27012022_covN2_PE-COD,2022-02-28 15:42:35,2022-01-31,2022-01-31,liquid,16175777063.2,"",9,70
63,AYI_14022022_covE_PE-COD,2022-03-08 12:14:41,2022-02-14,2022-02-14,liquid,20407756563,"",3,110
64,VAT_07102021_covE_PE-COD,2022-03-01 15:17:25,2021-10-11,2021-10-11,liquid,563682927,"",3,138
65,VAT_07102021_covN2_PE-COD,2022-03-01 15:17:25,2021-10-11,2021-10-11,liquid,27982927,"",9,138
66,VAT_04112021_covE_PE-COD,2022-03-01 16:38:57,2021-11-08,2021-11-08,liquid,4608467742,"",3,200
67,VAT_04112021_covN2_PE-COD,2022-03-01 16:38:57,2021-11-08,2021-11-08,liquid,4608467742,"",9,200
68,VAT_03012022_covE_PE-COD,2022-03-01 17:04:52,2022-01-03,2022-01-03,liquid,24156896552,"",3,310
69,VAT_03012022_covN2_PE-COD,2022-03-01 17:04:52,2022-01-03,2022-01-03,liquid,31120689655,"",9,310
70,PAF_18112021_covE_PE-COD,2022-03-03 09:25:00,2021-11-22,2021-11-22,liquid,2766121336,"",3,225
71,PAF_18112021_covN2_PE-COD,2022-03-03 09:25:00,2021-11-22,2021-11-22,liquid,1088002727,"",9,225
72,PAF_10012022_covE_PE-COD,2022-03-03 09:44:44,2022-01-10,2022-01-10,liquid,12743232928,"",3,122
73,PAF_10012022_covN2_PE-COD,2022-03-03 09:44:44,2022-01-10,2022-01-10,liquid,21138823049,"",9,122
74,AYI_14022022_covN2_PE-COD,2022-03-08 12:14:41,2022-02-14,2022-02-14,liquid,15262171838,"",9,110
75,PAR_29112021_covE_PE-COD,2022-03-08 12:42:53,2021-11-29,2021-11-29,liquid,1439527559,"",3,242
76,LAR_24022022_covE_gc/L,2022-03-03 10:53:48,2022-02-28,2022-02-28,liquid,30035.5,"",2,148
77,LAR_24022022_covN2_gc/L,2022-03-03 10:53:48,2022-02-28,2022-02-28,liquid,104210.0,"",1,148
78,PAR_29112021_covN2_PE-COD,2022-03-08 12:42:53,2021-11-29,2021-11-29,liquid,2217322835,"",9,242
79,AYI_04112021_covE_PE-COD,2022-03-03 11:23:53,2021-11-04,2021-11-04,liquid,4064500000,"",3,198
80,AYI_23122021_covE_PE-COD,2022-03-03 13:43:27,2021-12-27,2021-12-27,liquid,10354285714,"",3,290
81,AYI_23122021_covN2_PE-COD,2022-03-03 13:43:27,2021-12-27,2021-12-27,liquid,7671428571,"",9,290
82,ANT_27122021_covE_PE-COD,2022-03-08 11:45:26,2021-12-27,2021-12-27,liquid,3359728507,"",3,302
83,ANT_27122021_covN2_PE-COD,2022-03-08 11:45:26,2021-12-27,2021-12-27,liquid,5799886878,"",9,302
84,PAR_13012022_covE_PE-COD,2022-03-08 13:01:01,2022-01-17,2022-01-17,liquid,33882214765,"",3,124
85,PAR_13012022_covN2_PE-COD,2022-03-08 13:01:01,2022-01-17,2022-01-17,liquid,27020134228,"",9,124
86,PAR_28022022_covE_PE-COD,2022-03-08 13:10:19,2022-02-28,2022-02-28,liquid,16613013699,"",3,151
87,PAR_28022022_covN2_PE-COD,2022-03-08 13:10:19,2022-02-28,2022-02-28,liquid,56501826484,"",9,151
88,AYI_08032022_covE_gc/L,2022-03-11 12:17:39,2022-03-08,2022-03-08,liquid,68035.0,"",2,97
89,AYI_08032022_covN2_gc/L,2022-03-11 12:17:39,2022-03-08,2022-03-08,liquid,24845.0,"",1,97
90,ANT_07022022_covE_PE-COD,2022-03-15 10:08:15,2022-02-07,2022-02-07,liquid,10246009390,"",3,116
91,ANT_07022022_covN2_PE-COD,2022-03-15 10:08:15,2022-02-07,2022-02-07,liquid,14464612676,"",9,116
92,VAT_14022022_covE_PE-COD,2022-03-15 10:47:04,2022-02-14,2022-02-14,liquid,21434422658,"",3,132
93,VAT_14022022_covN2_PE-COD,2022-03-15 10:47:04,2022-02-14,2022-02-14,liquid,14883551198,"",9,132
94,AYI_04112021_covN2_PE-COD,2022-03-03 11:23:53,2021-11-04,2021-11-04,liquid,6659551724,"",9,198
95,ANT_14032022_covE_gc/L,2022-03-18 14:50:44,2022-03-14,2022-03-14,liquid,146250.0,"",2,39
96,ANT_14032022_covN2_gc/L,2022-03-18 14:50:44,2022-03-14,2022-03-14,liquid,157350.0,"",1,39
97,ANT_10022022_covE_PE-COD,2022-03-24 13:35:25,2022-02-14,2022-02-14,liquid,31328640777,"",3,131
98,LAR_31012022_covE_gc/L,2022-02-11 11:29:54,2022-01-31,2022-01-31,liquid,48335.0,"",2,126
99,LAR_31012022_covN2_gc/L,2022-02-11 11:29:54,2022-01-31,2022-01-31,liquid,61690.0,"",1,126
100,LAR_10022022_covE_gc/L,2022-02-18 10:47:40,2022-02-14,2022-02-14,liquid,117700.0,"",2,22
101,LAR_10022022_covN2_gc/L,2022-02-18 10:47:40,2022-02-14,2022-02-14,liquid,174850.0,"",1,22
102,LAR_17022022_covE_gc/L,2022-02-24 11:05:33,2022-02-21,2022-02-21,liquid,51630.0,"",2,26
103,LAR_17022022_covN2_gc/L,2022-02-24 11:05:33,2022-02-21,2022-02-21,liquid,86325.0,"",1,26
104,LAR_14102021_covE_PE-COD,2022-02-28 13:55:51,2021-10-18,2021-10-18,liquid,2704587156,"",3,146
105,LAR_14102021_covN2_PE-COD,2022-02-28 13:55:51,2021-10-18,2021-10-18,liquid,2926605504.6,"",9,146
106,LAR_28102021_covE_PE-COD,2022-02-28 14:26:47,2021-11-01,2021-11-01,liquid,10972568578.6,"",3,184
107,LAR_28102021_covN2_PE-COD,2022-02-28 14:26:47,2021-11-01,2021-11-01,liquid,8650041562.8,"",9,184
108,LAR_29112021_covE_PE-COD,2022-02-28 14:38:05,2021-11-29,2021-11-29,liquid,2896276595.7,"",3,243
109,LAR_29112021_covN2_PE-COD,2022-02-28 14:38:05,2021-11-29,2021-11-29,liquid,5909574468.1,"",9,243
110,LAR_31012022_covE_PE-COD,2022-02-28 15:43:11,2022-01-31,2022-01-31,liquid,22061618257.3,"",3,126
111,LAR_31012022_covN2_PE-COD,2022-02-28 15:43:11,2022-01-31,2022-01-31,liquid,28157261410.8,"",9,126
112,AYI_03012022_covN2_PE-COD,2022-03-08 12:03:26,2022-01-03,2022-01-03,liquid,20792682927,"",9,311
113,VAT_11102021_covE_PE-COD,2022-03-01 15:18:21,2021-10-11,2021-10-11,liquid,1136827133,"",3,145
114,VAT_11102021_covN2_PE-COD,2022-03-01 15:18:21,2021-10-11,2021-10-11,liquid,262291028,"",9,145
115,VAT_08112021_covE_PE-COD,2022-03-01 16:39:42,2021-11-08,2021-11-08,liquid,3729868421,"",3,204
116,VAT_08112021_covN2_PE-COD,2022-03-01 16:39:42,2021-11-08,2021-11-08,liquid,3729868421,"",9,204
117,VAT_06012022_covE_PE-COD,2022-03-01 17:05:34,2022-01-10,2022-01-10,liquid,4598759899,"",3,67
118,VAT_06012022_covN2_PE-COD,2022-03-01 17:05:34,2022-01-10,2022-01-10,liquid,8453566977,"",9,67
119,PAF_22112021_covE_PE-COD,2022-03-03 09:26:24,2021-11-22,2021-11-22,liquid,2762612164,"",3,231
120,PAF_22112021_covN2_PE-COD,2022-03-03 09:26:24,2021-11-22,2021-11-22,liquid,2256480558,"",9,231
121,PAF_13012022_covE_PE-COD,2022-03-03 09:45:22,2022-01-17,2022-01-17,liquid,16999178645,"",3,320
122,PAF_13012022_covN2_PE-COD,2022-03-03 09:45:22,2022-01-17,2022-01-17,liquid,33341067762,"",9,320
123,AYI_17022022_covE_PE-COD,2022-03-08 12:15:35,2022-02-21,2022-02-21,liquid,15630276817,"",3,30
124,AYI_17022022_covN2_PE-COD,2022-03-08 12:15:35,2022-02-21,2022-02-21,liquid,54162629758,"",9,30
125,LAR_28022022_covE_gc/L,2022-03-03 10:54:38,2022-02-28,2022-02-28,liquid,31105.0,"",2,6
126,LAR_28022022_covN2_gc/L,2022-03-03 10:54:38,2022-02-28,2022-02-28,liquid,71670.0,"",1,6
127,AYI_11112021_covE_PE-COD,2022-03-03 13:30:41,2021-11-15,2021-11-15,liquid,173301887,"",3,208
128,AYI_11112021_covN2_PE-COD,2022-03-03 13:30:41,2021-11-15,2021-11-15,liquid,502610063,"",9,208
129,AYI_27122021_covE_PE-COD,2022-03-03 13:44:09,2021-12-27,2021-12-27,liquid,10944067797,"",3,297
130,AYI_27122021_covN2_PE-COD,2022-03-03 13:44:09,2021-12-27,2021-12-27,liquid,9135593220,"",9,297
131,VAT_10032022_covN2_gc/L,2022-03-18 14:51:30,2022-03-14,2022-03-14,liquid,521950.0,"",1,100
132,AYI_03012022_covE_PE-COD,2022-03-08 12:03:26,2022-01-03,2022-01-03,liquid,42957012195,"",3,311
133,PAR_02122021_covE_PE-COD,2022-03-08 12:47:19,2021-12-06,2021-12-06,liquid,1570218023,"",3,249
134,PAR_02122021_covN2_PE-COD,2022-03-08 12:47:19,2021-12-06,2021-12-06,liquid,2210392442,"",9,249
135,PAR_17012022_covE_PE-COD,2022-03-08 13:01:44,2022-01-17,2022-01-17,liquid,30298575499,"",3,12
136,PAR_17012022_covN2_PE-COD,2022-03-08 13:01:44,2022-01-17,2022-01-17,liquid,20652421652,"",9,12
137,ANT_08022022_covE_PE-COD,2022-03-15 10:09:04,2022-02-08,2022-02-08,liquid,13112234043,"",3,329
138,ANT_08022022_covN2_PE-COD,2022-03-15 10:09:04,2022-02-08,2022-02-08,liquid,22038356974,"",9,329
139,VAT_17022022_covE_PE-COD,2022-03-15 10:48:01,2022-02-21,2022-02-21,liquid,10801055011,"",3,82
140,VAT_17022022_covN2_PE-COD,2022-03-15 10:48:01,2022-02-21,2022-02-21,liquid,8587792012,"",9,82
141,VAT_10032022_covE_gc/L,2022-03-18 14:51:30,2022-03-14,2022-03-14,liquid,349050.0,"",2,100
142,ANT_10022022_covN2_PE-COD,2022-03-24 13:35:25,2022-02-14,2022-02-14,liquid,31380703883,"",9,131
143,VAT_14032022_covE_PE-COD,2022-03-24 13:45:20,2022-03-14,2022-03-14,liquid,51464285714,"",3,160
144,VAT_14032022_covN2_PE-COD,2022-03-24 13:45:20,2022-03-14,2022-03-14,liquid,31699829932,"",9,160
145,AYI_10032022_covE_PE-COD,2022-03-24 13:54:58,2022-03-14,2022-03-14,liquid,39202875399,"",3,101
146,AYI_10032022_covN2_PE-COD,2022-03-24 13:54:58,2022-03-14,2022-03-14,liquid,73432907348,"",9,101
147,ANT_27012022_covE_gc/L,2022-02-11 11:31:50,2022-01-31,2022-01-31,liquid,58110.0,"",2,18
148,ANT_27012022_covN2_gc/L,2022-02-11 11:31:50,2022-01-31,2022-01-31,liquid,102010.0,"",1,18
149,LAR_14022022_covE_gc/L,2022-02-18 10:48:40,2022-02-14,2022-02-14,liquid,89940.0,"",2,76
150,LAR_14022022_covN2_gc/L,2022-02-18 10:48:40,2022-02-14,2022-02-14,liquid,131300.0,"",1,76
151,LAR_21022022_covE_gc/L,2022-02-24 11:06:20,2022-02-21,2022-02-21,liquid,101800.0,"",2,81
152,LAR_21022022_covN2_gc/L,2022-02-24 11:06:20,2022-02-21,2022-02-21,liquid,106845.0,"",1,81
153,LAR_18102021_covE_PE-COD,2022-02-28 13:56:23,2021-10-18,2021-10-18,liquid,4650406504.1,"",3,168
154,LAR_18102021_covN2_PE-COD,2022-02-28 13:56:23,2021-10-18,2021-10-18,liquid,3130081300.8,"",9,168
155,LAR_01112021_covE_PE-COD,2022-02-28 14:31:06,2021-11-01,2021-11-01,liquid,9096744186,"",3,189
156,LAR_01112021_covN2_PE-COD,2022-02-28 14:31:06,2021-11-01,2021-11-01,liquid,20669767441.9,"",9,189
157,LAR_02122021_covE_PE-COD,2022-02-28 15:16:14,2021-12-06,2021-12-06,liquid,328417266.2,"",3,250
158,LAR_02122021_covN2_PE-COD,2022-02-28 15:16:14,2021-12-06,2021-12-06,liquid,1216067146.3,"",9,250
159,ANT_07102021_covE_PE-COD,2022-02-28 15:51:06,2021-10-11,2021-10-11,liquid,756904762,"",3,137
160,ANT_07102021_covN2_PE-COD,2022-02-28 15:51:07,2021-10-11,2021-10-11,liquid,328428571,"",9,137
161,ANT_28102021_covE_PE-COD,2022-02-28 16:07:22,2021-11-01,2021-11-01,liquid,6101937046,"",3,187
162,ANT_28102021_covN2_PE-COD,2022-02-28 16:07:22,2021-11-01,2021-11-01,liquid,395254237,"",9,187
163,AYI_06012022_covN2_PE-COD,2022-03-08 12:04:01,2022-01-10,2022-01-10,liquid,21764457255,"",9,64
164,VAT_14102021_covE_PE-COD,2022-03-01 15:19:00,2021-10-18,2021-10-18,liquid,536304348,"",3,165
165,VAT_14102021_covN2_PE-COD,2022-03-01 15:19:00,2021-10-18,2021-10-18,liquid,793043478,"",9,165
166,VAT_11112021_covE_PE-COD,2022-03-01 16:40:23,2021-11-15,2021-11-15,liquid,1430621469,"",3,210
167,VAT_11112021_covN2_PE-COD,2022-03-01 16:40:23,2021-11-15,2021-11-15,liquid,1533785311,"",9,210
168,VAT_10012022_covE_PE-COD,2022-03-01 17:06:09,2022-01-10,2022-01-10,liquid,13745771233,"",3,123
169,VAT_10012022_covN2_PE-COD,2022-03-01 17:06:09,2022-01-10,2022-01-10,liquid,10621980153,"",9,123
170,PAF_25112021_covE_PE-COD,2022-03-03 09:27:10,2021-11-29,2021-11-29,liquid,2897321429,"",3,238
171,PAF_25112021_covN2_PE-COD,2022-03-03 09:27:10,2021-11-29,2021-11-29,liquid,3560267857,"",9,238
172,PAF_17012022_covE_PE-COD,2022-03-03 09:45:53,2022-01-17,2022-01-17,liquid,20010638298,"",3,13
173,PAF_17012022_covN2_PE-COD,2022-03-03 09:45:53,2022-01-17,2022-01-17,liquid,25245390071,"",9,13
174,AYI_21022022_covE_PE-COD,2022-03-08 12:16:21,2022-02-21,2022-02-21,liquid,23634000000,"",3,147
175,AYI_21022022_covN2_PE-COD,2022-03-08 12:16:21,2022-02-21,2022-02-21,liquid,47694000000,"",9,147
176,PAR_06122021_covE_PE-COD,2022-03-08 12:48:33,2021-12-06,2021-12-06,liquid,1702435233,"",3,256
177,ANT_24022022_covE_gc/L,2022-03-03 10:55:39,2022-02-28,2022-02-28,liquid,15040.0,"",2,90
178,ANT_24022022_covN2_gc/L,2022-03-03 10:55:39,2022-02-28,2022-02-28,liquid,73470.0,"",1,90
179,AYI_15112021_covE_PE-COD,2022-03-03 13:34:08,2021-11-15,2021-11-15,liquid,321366279,"",3,213
180,AYI_15112021_covN2_PE-COD,2022-03-03 13:34:08,2021-11-15,2021-11-15,liquid,1259244186,"",9,213
181,AYI_30122021_covE_PE-COD,2022-03-03 13:44:59,2022-01-03,2022-01-03,liquid,70064319249,"",3,304
182,AYI_30122021_covN2_PE-COD,2022-03-03 13:44:59,2022-01-03,2022-01-03,liquid,45714553991,"",9,304
183,VAT_30122021_covE_PE-COD,2022-03-08 11:50:21,2022-01-03,2022-01-03,liquid,24373916533,"",3,303
184,VAT_30122021_covN2_PE-COD,2022-03-08 11:50:21,2022-01-03,2022-01-03,liquid,28744783307,"",9,303
185,AYI_06012022_covE_PE-COD,2022-03-08 12:04:01,2022-01-10,2022-01-10,liquid,45263386343,"",3,64
186,PAR_06122021_covN2_PE-COD,2022-03-08 12:48:33,2021-12-06,2021-12-06,liquid,5894689119,"",9,256
187,PAR_20012022_covE_PE-COD,2022-03-08 13:02:26,2022-01-24,2022-01-24,liquid,72581767956,"",3,4
188,PAR_20012022_covN2_PE-COD,2022-03-08 13:02:26,2022-01-24,2022-01-24,liquid,58342541436,"",9,4
189,VAT_14032022_covE_gc/L,2022-03-18 14:52:15,2022-03-14,2022-03-14,liquid,275100.0,"",2,160
190,VAT_21022022_covE_PE-COD,2022-03-15 10:48:39,2022-02-21,2022-02-21,liquid,10133037037,"",3,114
191,VAT_21022022_covN2_PE-COD,2022-03-15 10:48:39,2022-02-21,2022-02-21,liquid,2623703704,"",9,114
192,VAT_14032022_covN2_gc/L,2022-03-18 14:52:15,2022-03-14,2022-03-14,liquid,169450.0,"",1,160
193,ANT_03032022_covE_PE-COD,2022-03-24 13:36:32,2022-03-07,2022-03-07,liquid,1210702555,"",3,94
194,ANT_03032022_covN2_PE-COD,2022-03-24 13:36:32,2022-03-07,2022-03-07,liquid,18144981752,"",9,94
195,PAR_03032022_covE_PE-COD,2022-03-24 13:49:13,2022-03-07,2022-03-07,liquid,34614201183,"",3,96
196,ANT_31012022_covE_gc/L,2022-02-11 11:32:45,2022-01-31,2022-01-31,liquid,82910.0,"",2,71
197,ANT_31012022_covN2_gc/L,2022-02-11 11:32:45,2022-01-31,2022-01-31,liquid,125735.0,"",1,71
198,ANT_10022022_covE_gc/L,2022-02-18 10:49:49,2022-02-14,2022-02-14,liquid,117340.0,"",2,131
199,ANT_10022022_covN2_gc/L,2022-02-18 10:49:49,2022-02-14,2022-02-14,liquid,117535.0,"",1,131
200,ANT_21022022_covE_gc/L,2022-02-24 11:07:14,2022-02-22,2022-02-22,liquid,62040.0,"",2,112
201,ANT_21022022_covN2_gc/L,2022-02-24 11:07:14,2022-02-22,2022-02-22,liquid,78770.0,"",1,112
202,LAR_04112021_covE_PE-COD,2022-02-28 14:32:11,2021-11-08,2021-11-08,liquid,221444201.3,"",3,199
203,LAR_04112021_covN2_PE-COD,2022-02-28 14:32:11,2021-11-08,2021-11-08,liquid,1323851203.5,"",9,199
204,LAR_06122021_covE_PE-COD,2022-02-28 15:17:08,2021-12-06,2021-12-06,liquid,445615982.2,"",3,257
205,LAR_06122021_covN2_PE-COD,2022-02-28 15:17:08,2021-12-06,2021-12-06,liquid,1623751387.3,"",9,257
206,ANT_11102021_covE_PE-COD,2022-02-28 15:52:06,2021-10-11,2021-10-11,liquid,1161600000,"",3,144
207,ANT_11102021_covN2_PE-COD,2022-02-28 15:52:06,2021-10-11,2021-10-11,liquid,875050000,"",9,144
208,ANT_01112021_covE_PE-COD,2022-02-28 16:08:04,2021-11-01,2021-11-01,liquid,4387759883,"",3,192
209,ANT_01112021_covN2_PE-COD,2022-02-28 16:08:04,2021-11-01,2021-11-01,liquid,5548960469,"",9,192
210,AYI_10012022_covN2_PE-COD,2022-03-08 12:04:39,2022-01-10,2022-01-10,liquid,15682948305,"",9,120
211,VAT_18102021_covE_PE-COD,2022-03-01 15:19:51,2021-10-18,2021-10-18,liquid,473585911,"",3,171
212,VAT_18102021_covN2_PE-COD,2022-03-01 15:19:51,2021-10-18,2021-10-18,liquid,144247423,"",9,171
213,VAT_15112021_covE_PE-COD,2022-03-01 16:41:27,2021-11-15,2021-11-15,liquid,2081720430,"",3,212
214,VAT_15112021_covN2_PE-COD,2022-03-01 16:41:27,2021-11-15,2021-11-15,liquid,1170672043,"",9,212
215,VAT_13012022_covE_PE-COD,2022-03-01 17:07:18,2022-01-17,2022-01-17,liquid,14597727273,"",3,323
216,VAT_13012022_covN2_PE-COD,2022-03-01 17:07:18,2022-01-17,2022-01-17,liquid,15443181818,"",9,323
217,AYI_24022022_covE_PE-COD,2022-03-08 12:16:55,2022-02-28,2022-02-28,liquid,39534239130,"",3,33
218,AYI_24022022_covN2_PE-COD,2022-03-08 12:16:55,2022-02-28,2022-02-28,liquid,27177173913,"",9,33
219,PAF_29112021_covE_PE-COD,2022-03-03 09:27:54,2021-11-29,2021-11-29,liquid,4208563536,"",3,245
220,PAF_29112021_covN2_PE-COD,2022-03-03 09:27:54,2021-11-29,2021-11-29,liquid,5598756906,"",9,245
221,PAF_20012022_covE_PE-COD,2022-03-03 09:46:37,2022-01-24,2022-01-24,liquid,18311396011,"",3,109
222,PAF_20012022_covN2_PE-COD,2022-03-03 09:46:37,2022-01-24,2022-01-24,liquid,31903133903,"",9,109
223,ANT_28022022_covE_gc/L,2022-03-03 10:56:23,2022-02-28,2022-02-28,liquid,34135.0,"",2,149
224,ANT_28022022_covN2_gc/L,2022-03-03 10:56:23,2022-02-28,2022-02-28,liquid,69650.0,"",1,149
225,AYI_18112021_covE_PE-COD,2022-03-03 13:34:51,2021-11-22,2021-11-22,liquid,142812144,"",3,221
226,ANT_14022022_covE_PE-COD,2022-03-15 10:14:20,2022-02-14,2022-02-14,liquid,5472500000,"",3,23
227,VAT_23122021_covN2_PE-COD,2022-03-01 17:02:59,2021-12-27,2021-12-27,liquid,3578257840,"",9,289
